time,Level 1,Level 2,Level 3,Level 4,Level 5
1800,960394684.0,23797300.0,,,
1801,963569642.0,24051973.0,,,
1802,966781862.0,24310169.0,,,
1803,970031615.0,24571938.0,,,
1804,954089613.0,44066920.0,,,
1805,976644914.0,25106423.0,,,
1806,960663691.0,44724669.0,,,
1807,963842611.0,45225424.0,,,
1808,967226531.0,45564275.0,,,
1809,970649933.0,45907226.0,,,
1810,994882586.0,27107266.0,,,
1811,999634097.0,27846665.0,,,
1812,1004865549.0,28758880.0,,,
1813,1010582173.0,29854809.0,,,
1814,996598308.0,50822277.0,,,
1815,1019090065.0,35489334.0,,,
1816,1025137387.0,36780419.0,,,
1817,1031303487.0,38136876.0,,,
1818,1016395641.0,60756204.0,,,
1819,1022614889.0,62136271.0,,,
1820,1028832855.0,63392286.0,,,
1821,1034811629.0,64513191.0,,,
1822,1040759753.0,65487240.0,,,
1823,1047145936.0,66362024.0,,,
1824,1053676756.0,67192538.0,,,
1825,1060298595.0,68037448.0,,,
1826,1067057157.0,68897071.0,,,
1827,1073906108.0,69771735.0,,,
1828,1080846595.0,70661780.0,,,
1829,1087340757.0,71550536.0,,,
1830,1093385148.0,72437914.0,,,
1831,1097742198.0,74517349.0,,,
1832,1102276715.0,75932359.0,,,
1833,1077900199.0,105767527.0,,,
1834,1082205257.0,106982294.0,,,
1835,1086553733.0,108215928.0,,,
1836,1090946357.0,109468823.0,,,
1837,1094992981.0,111132287.0,,,
1838,1097140299.0,114760819.0,,,
1839,1104308658.0,113296595.0,,,
1840,1073399110.0,149840523.0,,,
1841,1078042721.0,150771127.0,,,
1842,1082233905.0,152092159.0,,,
1843,1085928977.0,153849522.0,,,
1844,1090134837.0,155177293.0,,,
1845,1094400124.0,156528468.0,,,
1846,1096589426.0,160040152.0,,,
1847,1124888132.0,137528653.0,,,
1848,1105257562.0,163034458.0,,,
1849,1108809247.0,164577652.0,,,
1850,1111553106.0,166153760.0,,,
1851,1112782601.0,167843367.0,,,
1852,1138053323.0,144722611.0,,,
1853,1137913927.0,146250910.0,,,
1854,1137851130.0,147814251.0,,,
1855,1137755964.0,149522996.0,,,
1856,1137842609.0,151164420.0,,,
1857,1132028964.0,158822172.0,,,
1858,1106619198.0,186193715.0,,,
1859,1132965830.0,162184364.0,,,
1860,1137096271.0,160759867.0,,,
1861,1137243220.0,163683863.0,,,
1862,1112561672.0,191798760.0,,,
1863,1115339459.0,158560609.0,34244218.0,,
1864,1119813505.0,157136704.0,35061095.0,,
1865,1121811111.0,194143828.0,,,
1866,1148347974.0,171626655.0,,,
1867,1123378714.0,163068903.0,37630506.0,,
1868,1125511977.0,164224239.0,38528157.0,,
1869,1127038178.0,166555852.0,39440674.0,,
1870,1124873569.0,171400682.0,42128047.0,,
1871,1124137997.0,177044416.0,43113871.0,,
1872,1156106874.0,150634422.0,44113411.0,,
1873,1142803941.0,170061340.0,45126758.0,,
1874,1135860242.0,183178656.0,46163386.0,,
1875,1140801470.0,184488146.0,47223832.0,,
1876,1145781494.0,185815650.0,48308643.0,,
1877,1134109540.0,203822521.0,49418378.0,,
1878,1139057255.0,204789271.0,51017665.0,,
1879,1164100136.0,187081918.0,51721436.0,,
1880,1148241659.0,210342136.0,52922820.0,,
1881,1148388605.0,218144691.0,54158747.0,,
1882,1133692700.0,241340732.0,55430238.0,,
1883,1136177288.0,245028783.0,59607544.0,,
1884,1143779197.0,246555983.0,60957867.0,,
1885,1146379686.0,253237958.0,62340176.0,,
1886,1153686972.0,255286758.0,63755241.0,,
1887,1182856095.0,235593887.0,65203858.0,,
1888,1172853042.0,255166367.0,66686836.0,,
1889,1175349200.0,262042037.0,68148681.0,,
1890,1178458578.0,268124286.0,69587629.0,,
1891,1192141193.0,263416005.0,71001848.0,,
1892,1198426613.0,265894842.0,72389432.0,,
1893,1191252711.0,281629086.0,73748405.0,,
1894,1193027667.0,288528067.0,75133068.0,,
1895,1204148000.0,286208102.0,76543912.0,,
1896,1223874622.0,275345105.0,77981431.0,,
1897,1216967643.0,291235651.0,79446133.0,,
1898,1173544224.0,303357551.0,121322493.0,,
1899,1221861798.0,264366183.0,123225336.0,,
1900,1235211772.0,260122102.0,125973235.0,,
1901,1242426602.0,264220554.0,127140051.0,,
1902,1245969553.0,270945254.0,130002260.0,,
1903,1255287482.0,273329282.0,132076603.0,,
1904,1264429922.0,276030462.0,134187498.0,,
1905,1267895982.0,278412983.0,142476462.0,,
1906,1230993561.0,327285740.0,144831689.0,,
1907,1240713156.0,259425322.0,217510086.0,,
1908,1246181584.0,265257509.0,220959964.0,,
1909,1253884845.0,268612422.0,224068557.0,,
1910,1262114627.0,257849385.0,240181867.0,,
1911,1270883509.0,259463496.0,242709801.0,,
1912,1279712634.0,260891055.0,244863771.0,,
1913,1294322075.0,256334470.0,246636902.0,,
1914,1296949110.0,341046732.0,171317621.0,,
1915,1305328303.0,342800291.0,173345683.0,,
1916,1314823142.0,335986330.0,182905029.0,,
1917,1323867351.0,351251011.0,170930295.0,,
1918,1329822701.0,356334203.0,172937773.0,,
1919,1345111130.0,346143915.0,181667547.0,,
1920,1341733262.0,408820602.0,137090812.0,,
1921,1354914401.0,410121475.0,137946434.0,,
1922,1364385368.0,296572776.0,258104290.0,,
1923,1373937848.0,364480236.0,197384482.0,,
1924,1385874803.0,264620827.0,302316915.0,,
1925,1397924028.0,260228054.0,311942987.0,,
1926,1402965182.0,269894393.0,314771621.0,,
1927,1399716897.0,288066908.0,317637876.0,,
1928,1417604845.0,285356197.0,320542276.0,,
1929,1419592747.0,287968004.0,334697146.0,,
1930,1438902538.0,295323370.0,327500033.0,,
1931,1437290151.0,316549754.0,328079210.0,,
1932,1468492084.0,310833366.0,323486884.0,,
1933,1479515687.0,330042297.0,314808276.0,,
1934,1401496282.0,416848333.0,327842783.0,,
1935,1405812669.0,426416808.0,336052418.0,,
1936,1414233496.0,437982271.0,338532456.0,,
1937,1408698846.0,464328241.0,340530833.0,,
1938,1425189875.0,462281115.0,349256658.0,,
1939,1434939020.0,473347238.0,350814912.0,,
1940,1447183505.0,476306726.0,356793436.0,,
1941,1443276519.0,538264965.0,182765231.0,136091324.0,
1942,1470253767.0,536062652.0,175367278.0,137800062.0,
1943,1518203643.0,503435816.0,176070665.0,139759335.0,
1944,1526666662.0,496032229.0,191084108.0,141701830.0,
1945,1588946668.0,455498473.0,185232664.0,143671325.0,
1946,1598364706.0,519233803.0,127821515.0,145668195.0,
1947,1526424700.0,565669958.0,165854280.0,152232121.0,
1948,1512537807.0,590549903.0,173466196.0,154332816.0,
1949,1524992016.0,523694176.0,251697444.0,156568743.0,
1950,1538196094.0,537782818.0,253448224.0,158895321.0,48297.0
1951,1541864445.0,558362982.0,270626079.0,161229408.0,51190.0
1952,1548856628.0,593513282.0,273196087.0,163605834.0,54233.0
1953,1604894917.0,582178121.0,276004391.0,166043967.0,57559.0
1954,1610573696.0,617631922.0,284057057.0,168575057.0,61209.0
1955,1647774240.0,575525607.0,340581925.0,171202136.0,65210.0
1956,1668653242.0,603568420.0,344095814.0,173890580.0,69548.0
1957,1660270199.0,662556849.0,347660064.0,176856430.0,74164.0
1958,1699173481.0,671931775.0,355134012.0,179661954.0,78972.0
1959,1707130600.0,712688928.0,357984377.0,182721745.0,83842.0
1960,1689767523.0,741699494.0,392537224.0,185949405.0,88347.0
1961,1668515958.0,695349860.0,506062855.0,189309233.0,92517.0
1962,1713225043.0,696944253.0,514713824.0,192738679.0,96719.0
1963,1734596025.0,691188911.0,565140883.0,196009380.0,101159.0
1964,1771870285.0,712219842.0,559220222.0,215086150.0,162789.0
1965,1822194691.0,557885915.0,634223133.0,313972295.0,174903.0
1966,1837325384.0,564891275.0,676935721.0,317931163.0,760656.0
1967,1880117281.0,572287136.0,692419527.0,322073172.0,202456.0
1968,1922105752.0,571463061.0,719507448.0,325276193.0,417387.0
1969,1936449021.0,616121180.0,710706893.0,349233155.0,474131.0
1970,1944478986.0,681254799.0,705179951.0,355811868.0,1347138.0
1971,1984153367.0,690061424.0,676275738.0,411158825.0,1469370.0
1972,2042283996.0,699288811.0,677643050.0,417257642.0,1594061.0
1973,2032365894.0,752067319.0,693974451.0,433735516.0,1723263.0
1974,2075855372.0,747229636.0,719090993.0,445359934.0,1857451.0
1975,2142089151.0,748552034.0,722635541.0,449429397.0,894013.0
1976,2192890815.0,759882422.0,730931023.0,452294566.0,988525.0
1977,2206491840.0,798856686.0,751760566.0,452250816.0,1104771.0
1978,2252179150.0,803592052.0,762992831.0,464566212.0,1225966.0
1979,2295211900.0,819781225.0,595057752.0,649450693.0,1351102.0
1980,2332358565.0,790049547.0,660295738.0,655593974.0,1477724.0
1981,2448336994.0,740028160.0,667175728.0,663684108.0,1585385.0
1982,2503679984.0,768753234.0,603376053.0,727086384.0,1676072.0
1983,2563285225.0,786018131.0,664061323.0,674282751.0,1440046.0
1984,2616487782.0,763411406.0,652166932.0,740210768.0,1517657.0
1985,2667704356.0,788900562.0,657587679.0,744631398.0,1596830.0
1986,2724662425.0,665558560.0,808178607.0,750781520.0,226495.0
1987,2781644681.0,640049188.0,857727809.0,759705133.0,1808104.0
1988,2843503856.0,655837805.0,846587297.0,786870177.0,240913.0
1989,2907849392.0,688285040.0,825142072.0,803822181.0,248064.0
1990,2969763542.0,858342703.0,693805115.0,794520167.0,2153512.0
1991,3052128576.0,870141010.0,640666339.0,844174603.0,2269222.0
1992,3108417615.0,887162238.0,645745861.0,852785626.0,2384569.0
1993,3178713665.0,966892587.0,570669096.0,863145137.0,2499064.0
1994,3238449038.0,719058267.0,836198235.0,869480984.0,2612279.0
1995,3228362095.0,827936576.0,814669795.0,875303766.0,2725857.0
1996,3272459937.0,977140514.0,698834170.0,880712366.0,2895840.0
1997,3327716924.0,946932764.0,750692213.0,885629304.0,3673251.0
1998,3358781923.0,889900332.0,843562978.0,900764518.0,3933346.0
1999,3416705593.0,1047436018.0,708720236.0,901913980.0,4224379.0
2000,3489232833.0,843221852.0,861959306.0,962787253.0,4491787.0
2001,2260329229.0,2145273715.0,864832535.0,969653635.0,4762003.0
2002,1920556907.0,2542890571.0,888642611.0,970007674.0,5482010.0
2003,1794667589.0,2687980881.0,940196290.0,981550020.0,5763457.0
2004,1819989959.0,2699021035.0,966814083.0,997088536.0,10214476.0
2005,1855499382.0,2640942933.0,1053718231.0,1013672451.0,12848201.0
2006,1865871571.0,2598713324.0,1160506801.0,1022407744.0,13620193.0
2007,1853837502.0,2623609064.0,1224416950.0,1030243616.0,14818091.0
2008,1889189102.0,2654944331.0,1235400946.0,1038786839.0,15706455.0
2009,673167808.0,3937932853.0,1243187197.0,1060927735.0,7082895.0
2010,637412699.0,4026357911.0,1275799872.0,1064371219.0,7293653.0
2011,450847003.0,4159088602.0,1417244883.0,1057794581.0,15426145.0
2012,363255343.0,4331901894.0,1419010389.0,1060753362.0,15730330.0
2013,352122933.0,3044554322.0,2801343316.0,1067140880.0,16052785.0
2014,362252119.0,3077354433.0,2664094061.0,1250899716.0,16422786.0
2015,375929665.0,3081982508.0,2726322935.0,1259449721.0,16236605.0
2016,385500946.0,3147158560.0,2724142477.0,935860958.0,355346009.0
2017,377597802.0,3213251203.0,2891163325.0,794319426.0,358799897.0
2018,388417032.0,3257120774.0,2760898527.0,951094937.0,361923323.0
2019,391300973.0,3353461224.0,2817836002.0,873394083.0,364833085.0
2020,679325079.0,3140908271.0,2823726374.0,875425098.0,357130863.0
2021,485818678.0,3381152623.0,2819056354.0,884864510.0,373067149.0
2022,548354094.0,3369239778.0,2809493779.0,908617405.0,375220768.0
2023,510188198.0,3466941497.0,2807616788.0,918507032.0,377981370.0
2024,500564034.0,3523652181.0,2738907597.0,1007780161.0,380544818.0
2025,514280089.0,3608892127.0,2706354195.0,1002485244.0,389061743.0
